May 01 23:56:21,192.0.2.0,T1078,Valid Accounts,Use of legitimate credentials.
May 01 23:56:35,192.0.2.0,T1190,Exploit Public-Facing Application,Injection attacks like SQLi.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
May 01 23:56:57,192.0.2.0,T1110,Brute Force,Repeated login attempts to guess credentials.
